Weight	Nested	Procedure	SoundFileName	Condition
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms_10ed.WAV	2
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	plai166_310ms_90t.WAV	3
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
1		SoundTrial	play166_310ms.WAV	1
